date,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10
2020-06-01,146.00,161.12,146.00,141.07,155.86,160.84,149.18,142.01,146.00,146.00
2020-06-02,146.00,161.10,146.00,141.08,156.00,160.89,143.44,139.39,146.00,146.00
2020-06-03,146.00,160.76,144.85,140.85,155.92,161.20,146.14,144.59,146.00,146.00
2020-06-04,147.29,159.86,143.73,141.32,158.61,161.01,148.73,144.92,146.00,146.08
2020-06-05,148.28,160.05,143.62,141.73,160.71,160.76,151.65,142.77,145.70,146.52
2020-06-06,150.86,160.53,144.82,138.68,165.80,160.14,152.19,141.82,144.37,144.56
2020-06-07,154.26,161.41,147.00,136.69,172.59,160.02,166.37,147.44,143.60,143.31
2020-06-08,155.80,162.48,148.96,135.50,175.58,159.27,157.65,147.83,142.52,142.46
2020-06-09,155.72,163.58,151.08,133.67,175.47,157.91,155.55,139.08,140.52,141.49
2020-06-10,155.04,164.79,152.97,133.32,174.21,158.57,160.39,142.94,140.85,141.21
2020-06-11,155.56,165.31,154.49,132.04,175.16,159.01,145.00,139.08,142.34,140.51
2020-06-12,156.98,166.28,156.20,132.47,177.81,160.23,143.72,140.78,144.32,140.54
2020-06-13,158.57,166.31,157.71,132.32,181.09,159.91,142.43,141.92,143.74,140.60
2020-06-14,160.14,167.54,158.72,133.50,184.37,160.55,136.98,149.04,144.53,141.31
2020-06-15,160.88,167.75,159.22,132.50,185.86,161.17,131.83,153.14,146.03,140.72
2020-06-16,163.00,168.01,160.38,133.18,190.10,160.75,135.35,149.69,145.77,141.24
2020-06-17,166.16,168.89,161.50,136.29,196.31,160.07,137.20,142.28,144.74,143.07
2020-06-18,166.81,169.04,161.79,139.79,197.51,159.87,142.47,140.73,143.86,145.31
2020-06-19,167.06,168.30,160.83,139.85,198.03,160.35,145.08,142.05,144.61,145.25
2020-06-20,167.36,167.37,159.39,142.53,198.61,160.38,150.44,139.67,144.96,146.95
2020-06-21,166.21,166.79,157.44,144.90,196.31,160.79,159.58,141.51,145.44,148.47
2020-06-22,164.59,166.21,157.05,148.38,193.23,159.64,164.82,137.66,143.59,150.70
2020-06-23,162.26,167.05,158.26,149.02,188.50,160.45,168.62,140.39,144.69,150.97
2020-06-24,159.14,168.19,160.33,151.24,182.45,160.29,164.50,130.75,145.37,152.31
2020-06-25,155.73,168.36,160.48,151.62,175.44,162.02,167.45,137.24,147.52,152.62
2020-06-26,151.02,166.96,158.78,153.06,166.02,161.92,168.18,138.37,147.75,153.42
2020-06-27,147.25,165.69,154.79,150.68,158.51,161.87,165.54,134.39,148.07,152.11
2020-06-28,144.91,162.93,150.04,150.95,153.75,161.25,164.19,131.65,146.74,152.19
2020-06-29,141.82,161.20,146.15,151.98,147.56,160.66,156.29,126.11,145.77,152.90
2020-06-30,139.97,160.74,144.72,152.88,143.86,160.23,160.02,129.25,144.21,153.60
2020-07-01,139.63,160.77,146.00,153.80,143.26,159.54,171.46,122.60,143.62,154.18
2020-07-02,139.11,161.99,148.83,158.32,142.06,158.87,176.53,116.36,142.25,157.04
2020-07-03,139.39,163.19,150.83,159.78,142.80,158.30,169.78,112.42,140.92,157.73
2020-07-04,140.97,163.45,150.24,162.26,145.95,159.25,171.23,106.51,142.97,159.44
2020-07-05,143.41,162.14,148.68,166.49,150.78,160.42,185.74,108.51,144.70,162.13
2020-07-06,146.39,161.39,146.96,170.96,156.82,161.18,181.62,118.53,145.57,164.99
2020-07-07,149.63,160.66,145.34,174.34,163.36,160.81,189.53,121.48,145.40,166.79
2020-07-08,152.42,159.68,143.60,175.06,168.87,161.84,181.72,133.51,146.73,167.29
2020-07-09,154.32,160.00,143.86,178.26,172.55,163.59,183.87,132.93,151.23,169.23
2020-07-10,155.35,159.98,143.35,177.18,174.66,164.88,178.70,126.82,154.25,168.66
2020-07-11,155.36,159.26,142.11,177.89,174.69,165.50,187.18,126.03,155.07,168.94
2020-07-12,154.86,158.41,140.67,176.47,173.88,164.50,184.55,129.01,152.77,168.40
2020-07-13,153.17,158.27,140.72,177.98,170.34,165.18,193.05,127.13,154.52,169.13
2020-07-14,153.35,158.67,140.93,176.09,170.74,166.00,195.04,130.63,155.73,167.97
2020-07-15,155.90,158.79,140.95,176.66,175.79,166.11,197.32,131.56,156.15,168.24
2020-07-16,157.19,158.48,140.81,175.95,178.37,166.98,202.76,135.65,157.64,167.79
2020-07-17,157.17,158.81,140.92,173.86,178.24,167.64,201.76,126.12,160.05,166.75
2020-07-18,156.64,158.24,140.31,172.70,177.24,168.58,203.05,129.09,160.93,165.67
2020-07-19,156.81,157.00,137.93,173.61,177.60,169.34,205.09,132.96,162.37,166.43
2020-07-20,157.28,155.14,134.62,172.94,178.65,169.74,198.43,133.30,163.47,165.87
2020-07-21,157.78,154.47,132.56,173.70,179.52,170.05,190.98,140.74,163.52,166.42
2020-07-22,158.30,154.29,132.41,175.40,180.58,169.63,181.81,131.11,164.05,167.57
2020-07-23,158.65,155.15,134.91,176.79,181.21,169.93,180.42,128.50,164.07,168.58
2020-07-24,160.28,156.93,138.31,180.01,184.57,170.70,184.97,136.11,164.81,170.40
2020-07-25,162.06,158.92,141.65,183.04,188.09,170.61,180.61,135.01,165.31,172.32
2020-07-26,164.76,161.60,147.17,179.78,193.49,170.69,173.62,141.16,164.90,170.08
2020-07-27,166.19,164.42,152.55,180.09,196.38,169.70,160.96,141.51,163.37,170.31
2020-07-28,167.04,167.11,157.66,177.59,197.99,170.34,150.40,145.74,164.35,168.76
2020-07-29,168.32,168.52,160.38,176.25,200.55,171.66,159.64,144.88,167.40,167.90
2020-07-30,169.57,169.57,163.07,173.95,203.15,171.42,172.43,140.49,167.20,166.44
2020-07-31,171.06,170.15,164.72,172.44,206.14,171.81,168.05,146.16,167.18,165.64
2020-08-01,171.94,170.74,165.53,169.48,208.07,171.67,176.64,148.67,167.14,163.74
2020-08-02,172.05,170.63,164.79,166.89,207.98,172.25,191.00,147.15,168.64,162.12
2020-08-03,171.01,169.36,162.70,163.51,205.89,173.14,186.97,142.94,170.62,160.16
2020-08-04,168.64,168.42,160.53,162.08,201.41,174.22,193.27,142.30,172.50,159.13
